,,,,,,,
"COUNTY
_CODE","
COUNTY_NAME",CONST_ CODE,"
CONSTITUENCY_NAME",CAW_ CODE,"
CAW_NAME","
VOTERS",NO. OF POLLING STATIONS
4,TANA RIVER,20,BURA,96,CHEWELE,6897,22
4,TANA RIVER,20,BURA,97,HIRIMANI,9249,25
4,TANA RIVER,20,BURA,98,BANGALE,9408,19
4,TANA RIVER,20,BURA,99,SALA,6628,15
4,TANA RIVER,20,BURA,100,MADOGO,5970,20
5,LAMU,21,LAMU EAST,101,FAZA,13673,29
5,LAMU,21,LAMU EAST,102,KIUNGA,3906,11
5,LAMU,21,LAMU EAST,103,BASUBA,655,5
5,LAMU,22,LAMU WEST,104,SHELLA,3366,7
5,LAMU,22,LAMU WEST,105,MKOMANI,10700,22
5,LAMU,22,LAMU WEST,106,HINDI,7376,20
5,LAMU,22,LAMU WEST,107,MKUNUMBI,7994,20
5,LAMU,22,LAMU WEST,108,HONGWE,4406,10
,,,,,,,
5,LAMU,22,LAMU WEST,109,WITU,8111,19
5,LAMU,22,LAMU WEST,110,BAHARI,9589,24
6,TAITA TAVETA,23,TAVETA,111,CHALA,8058,19
6,TAITA TAVETA,23,TAVETA,112,MAHOO,5673,14
6,TAITA TAVETA,23,TAVETA,113,BOMANI,8481,15
6,TAITA TAVETA,23,TAVETA,114,MBOGHONI,6924,18
6,TAITA TAVETA,23,TAVETA,115,MATA,5166,13
6,TAITA TAVETA,24,WUNDANYI,116,WUNDANYI/MBALE,10897,25
6,TAITA TAVETA,24,WUNDANYI,117,WERUGHA,5289,11
6,TAITA TAVETA,24,WUNDANYI,118,WUMINGU/KISHUSHE,6954,16
6,TAITA TAVETA,24,WUNDANYI,119,MWANDA/MGANGE,6771,17
6,TAITA TAVETA,25,MWATATE,120,RONG'E,6033,19
6,TAITA TAVETA,25,MWATATE,121,MWATATE,8580,17
6,TAITA TAVETA,25,MWATATE,122,BURA,8881,24
6,TAITA TAVETA,25,MWATATE,123,CHAWIA,8032,20
6,TAITA TAVETA,25,MWATATE,124,WUSI/KISHAMBA,7505,16
6,TAITA TAVETA,26,VOI,125,MBOLOLO,14030,31
6,TAITA TAVETA,26,VOI,126,SAGALLA,5717,12
6,TAITA TAVETA,26,VOI,127,KALOLENI,14773,27
6,TAITA TAVETA,26,VOI,128,MARUNGU,5529,11
6,TAITA TAVETA,26,VOI,129,KASIGAU,7035,15
6,TAITA TAVETA,26,VOI,130,NGOLIA,5388,14
7,GARISSA,27,GARISSA TOWNSHIP,131,WABERI,12267,22
7,GARISSA,27,GARISSA TOWNSHIP,132,GALBET,17630,32
7,GARISSA,27,GARISSA TOWNSHIP,133,TOWNSHIP,13862,21
7,GARISSA,27,GARISSA TOWNSHIP,134,IFTIN,10532,22
7,GARISSA,28,BALAMBALA,135,BALAMBALA,3743,11
7,GARISSA,28,BALAMBALA,136,DANYERE,3540,11
,,,,,,,
7,GARISSA,28,BALAMBALA,137,JARA JARA,1830,4
7,GARISSA,28,BALAMBALA,138,SAKA,4087,11
7,GARISSA,28,BALAMBALA,139,SANKURI,6945,16
7,GARISSA,29,LAGDERA,140,MODOGASHE,4803,11
7,GARISSA,29,LAGDERA,141,BENANE,3759,9
7,GARISSA,29,LAGDERA,142,GOREALE,1207,4
7,GARISSA,29,LAGDERA,143,MAALIMIN,4498,11
7,GARISSA,29,LAGDERA,144,SABENA,2836,5
7,GARISSA,29,LAGDERA,145,BARAKI,3444,6
7,GARISSA,30,DADAAB,146,DERTU,3910,10
7,GARISSA,30,DADAAB,147,DADAAB,3731,7
7,GARISSA,30,DADAAB,148,LABASIGALE,1699,4
7,GARISSA,30,DADAAB,149,DAMAJALE,5964,13
7,GARISSA,30,DADAAB,150,LIBOI,4435,10
7,GARISSA,30,DADAAB,151,ABAKAILE,6023,12
7,GARISSA,31,FAFI,152,BURA,3602,14
7,GARISSA,31,FAFI,153,DEKAHARIA,2851,15
7,GARISSA,31,FAFI,154,JARAJILA,3378,8
7,GARISSA,31,FAFI,155,FAFI,6162,14
7,GARISSA,31,FAFI,156,NANIGHI,3890,10
7,GARISSA,32,IJARA,157,HULUGHO,4738,17
7,GARISSA,32,IJARA,158,SANGAILU,3571,9
7,GARISSA,32,IJARA,159,IJARA,5121,20
7,GARISSA,32,IJARA,160,MASALANI,9292,22
8,WAJIR,33,WAJIR NORTH,161,GURAR,1961,9
8,WAJIR,33,WAJIR NORTH,162,BUTE,3161,10
8,WAJIR,33,WAJIR NORTH,163,KORONDILE,4384,14
8,WAJIR,33,WAJIR NORTH,164,MALKAGUFU,2269,7
,,,,,,,
8,WAJIR,33,WAJIR NORTH,165,BATALU,4690,12
8,WAJIR,33,WAJIR NORTH,166,DANABA,5404,16
8,WAJIR,33,WAJIR NORTH,167,GODOMA,2681,8
8,WAJIR,34,WAJIR EAST,168,WAGBERI,5886,14
8,WAJIR,34,WAJIR EAST,169,TOWNSHIP,7300,17
8,WAJIR,34,WAJIR EAST,170,BARWAGO,6875,13
8,WAJIR,34,WAJIR EAST,171,KHOROF/HARAR,6903,21
8,WAJIR,35,TARBAJ,172,ELBEN,3358,9
8,WAJIR,35,TARBAJ,173,SARMAN,5625,13
8,WAJIR,35,TARBAJ,174,TARBAJ,7371,19
8,WAJIR,35,TARBAJ,175,WARGADUD,3345,9
8,WAJIR,36,WAJIR WEST,176,ARBAJAHAN,6485,16
8,WAJIR,36,WAJIR WEST,177,HADADO/ATHIBOHOL,7094,16
8,WAJIR,36,WAJIR WEST,178,ADAMASAJIDE,5107,15
8,WAJIR,36,WAJIR WEST,179,GANYURE/WAGALLA,8858,28
8,WAJIR,37,ELDAS,180,ELDAS,3459,13
8,WAJIR,37,ELDAS,181,DELLA,4994,12
8,WAJIR,37,ELDAS,182,LAKOLEY SOUTH/BASIR,2718,7
8,WAJIR,37,ELDAS,183,ELNUR/TULA TULA,7505,17
8,WAJIR,38,WAJIR SOUTH,184,BENANE,8859,25
8,WAJIR,38,WAJIR SOUTH,185,BURDER,3795,10
8,WAJIR,38,WAJIR SOUTH,186,DADAJA BULLA,4036,8
8,WAJIR,38,WAJIR SOUTH,187,HABASSWEIN,8407,24
8,WAJIR,38,WAJIR SOUTH,188,LAGBOGHOL SOUTH,5710,16
8,WAJIR,38,WAJIR SOUTH,189,IBRAHIM URE,5643,17
8,WAJIR,38,WAJIR SOUTH,190,DIIF,9019,19
9,MANDERA,39,MANDERA WEST,191,TAKABA SOUTH,4250,11
9,MANDERA,39,MANDERA WEST,192,TAKABA,5494,12
,,,,,,,
9,MANDERA,39,MANDERA WEST,193,LAGSURE,6725,12
9,MANDERA,39,MANDERA WEST,194,DANDU,3934,10
9,MANDERA,39,MANDERA WEST,195,GITHER,6413,13
9,MANDERA,40,BANISSA,196,BANISSA,3252,11
9,MANDERA,40,BANISSA,197,DERKHALE,5372,11
9,MANDERA,40,BANISSA,198,GUBA,946,7
9,MANDERA,40,BANISSA,199,MALKAMARI,4738,14
9,MANDERA,40,BANISSA,200,KILIWEHIRI,4168,10
9,MANDERA,41,MANDERA NORTH,201,ASHABITO,10905,19
9,MANDERA,41,MANDERA NORTH,202,GUTICHA,8450,19
9,MANDERA,41,MANDERA NORTH,203,MOROTHILE,2366,5
9,MANDERA,41,MANDERA NORTH,204,RHAMU,20192,36
9,MANDERA,41,MANDERA NORTH,205,RHAMU-DIMTU,9318,20
9,MANDERA,42,MANDERA SOUTH,206,WARGADUD,2650,9
9,MANDERA,42,MANDERA SOUTH,207,KUTULO,6247,18
9,MANDERA,42,MANDERA SOUTH,208,ELWAK SOUTH,6875,17
9,MANDERA,42,MANDERA SOUTH,209,ELWAK NORTH,4543,11
9,MANDERA,42,MANDERA SOUTH,210,SHIMBIR FATUMA,5518,16
9,MANDERA,43,MANDERA EAST,211,ARABIA,3219,11
9,MANDERA,43,MANDERA EAST,212,TOWNSHIP,14085,27
9,MANDERA,43,MANDERA EAST,213,NEBOI,10210,17
9,MANDERA,43,MANDERA EAST,214,KHALALIO,7244,19
9,MANDERA,43,MANDERA EAST,215,LIBEHIA,4207,10
